studyid,authors,Year,Outcome,Measure,includes_complete_dichotomous,setting,Studygroups,Studygroups_alternative,ITT,LT_arrests_treat,LT_arrests_treat_SD,LT_arrests_treat_n,LT_arrests_cont,LT_arrests_cont_SD,LT_arrests_cont_n,LT_convictions_treat,LT_convictions_treat_n,LT_convictions_cont,LT_convictions_cont_n,mean_age_treat,mean_age_treat_SD,mean_age_cont,mean_age_cont_SD,male_%_treat,male_%_cont,white_%_treat,white_%_cont,bl_pre_period_months,bl_treat_m,bl_treat_sd,bl_treat_median,bl_incidents_treat,bl_person_time_treat,bl_treat_n,bl_cont_m,bl_cont_sd,bl_cont_median,bl_incidents_cont,bl_person_time_cont,bl_cont_n,bl_treat_Dichotomous_%_Yes,bl_treat_Dichotomous_n,bl_cont_Dichotomous_%_Yes,bl_cont_Dichotomous_n,pt_period_months,pt_begins,measured_during_or_post_pt,Program_duration_minimum_months,Program_duration_average_months,Post_program_PT_months_treat,Post_program_PT_months_cont,pt_treat_m,pt_treat_sd,pt_treat_median,pt_incidents_treat,pt_person_time_treat,pt_treat_n,pt_cont_m,pt_cont_sd,pt_cont_median,pt_incidents_cont,pt_person_time_cont,pt_cont_n,pt_treat_Dichotomous_%,pt_treat_Dichotomous_n,pt_cont_Dichotomous_%,pt_cont_Dichotomous_n,mv_notes,charge_level,accepted_violent,reported_accepting_violent,accepts_felons,reported_accepting_felons,reported_charges_expunged,pt_%_program_graduates,pt_program_graduates_n,pt_%_program_terminates,pt_program_terminates_n,pt_treatment_completion_treat_%,pt_treatment_completion_treat_n,pt_treatment_completion_cont_%,pt_treatment_completion_cont_n,source,source_collapsed,source_published,organisation_or_research_group,research_design,stage_of_disposition,reported_single_judge,JOs_presiding_over_hearings_collapsed,report_team_training,report_JO training,report_judge_or_team_training,Average _minutes_review_hearing,report_frequent_team_meetings,reported_sanctions,reported_using_graduated_sanctions,reported_sanctions_or_graduated_sanctions,reported_using_rewards,reported_sanctions_and_rewards,Frequency_review_hearing,frequency_duration,frequent_vs_monthly_rh,frequent_rh_collapsed,reported_measuring_risk_treat,reported_measuring_risk_cont,reported_individualized_treat_treat,reported_individualized_treat_cont,reported_drug_or_alcohol_treatment_treat,reported_drug_or_alcohol_treatment_cont,reported_drug_or_alcohol_testing_treat,reported_drug_or_alcohol_testing_cont,reported_psychiatric_treatment_treat,reported_psychiatric_treatment_cont,reported_counseling_treat,reported_counseling_cont,reported_support_groups_treat,reported_support_groups_ cont,reported_probation_cont,other_treatment_treat,other_treatment_cont,total_treatments_required_treat,total_treatments_required_cont,total_treatments_offered_treat,total_treatments_offered_cont,included_sample_matching,reported_sample_matching,MSMS,overall_robins,ROB_confounding,ROB_participants,ROB_classification,ROB_deviation,ROB_missing,ROB_measurement,ROB_reporting
2,Alaska Judicial Council,2005,remand,mean remands,No,DUIC,standard,None Reported,Graduates,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,24,2,NR,NR,30,360,15,NR,NR,NR,164.3,NR,NR,NR,NR,NR,NR,24,Enrolment,During,12,14.6,9.4,NR,0.8,NR,NR,12,360,15,NR,NR,NR,111.3,NR,NR,NR,NR,NR,NR,,Felon,Yes,Yes,Yes,Yes,No,100,15,0,0,NR,NR,NR,NR,Evaluation,Evaluation,unpublished,None,Quasi-experimental,Post,Yes,Single judge,No,No,No,NR,Yes,Yes,No,Yes,Yes,Yes,Weekly,whole treatment,frequent,frequent,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,probation,NR,6,NR,6,NR,No,No,3,unrated,unrated,unrated,unrated,unrated,unrated,unrated,unrated
2,Alaska Judicial Council,2005,remand,mean remands,No,DC,standard,None Reported,Graduates/Failures,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,32,NR,32,NR,88,97,10,3,24,5.11,NR,NR,250.3,1176,49,3.3,NR,NR,99,720,30,NR,NR,NR,NR,24,Enrolment,During,12,9.25,14.75,NR,4.26,NR,NR,208.8,1176,49,3.6,NR,NR,108,720,30,NR,NR,NR,NR,,Felony/Misdemeanor,Yes,Yes,Yes,Yes,Yes,14,7,43,22,NR,NR,NR,NR,Evaluation,Evaluation,unpublished,None,Quasi-experimental,Post,Yes,Single judge,No,No,No,NR,Yes,Yes,No,Yes,Yes,Yes,Weekly,whole treatment,frequent,frequent,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,NR,NR,6,NR,6,NR,No,No,3,unrated,unrated,unrated,unrated,unrated,unrated,unrated,unrated
2,Alaska Judicial Council,2005,remand,mean remands,No,DC,standard,None Reported,Graduates,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,24,7.7,NR,NR,53.9,168,7,NR,NR,NR,99,NR,NR,NR,NR,NR,NR,24,Enrolment,During,12,15.32,8.68,NR,1,NR,NR,7,168,7,NR,NR,NR,108,NR,NR,NR,NR,NR,NR,,Felony/Misdemeanor,Yes,Yes,Yes,Yes,Yes,100,7,0,0,NR,NR,NR,NR,Evaluation,Evaluation,unpublished,None,Quasi-experimental,Post,Yes,Single judge,No,No,No,NR,Yes,Yes,No,Yes,Yes,Yes,fortnightly,whole treatment,frequent,frequent,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,NR,NR,6,NR,6,NR,No,No,3,unrated,unrated,unrated,unrated,unrated,unrated,unrated,unrated
2,Alaska Judicial Council,2005,convictions,Mean convictions,No,DC,standard,None Reported,Graduates/Failures,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,35,NR,34,NR,50,55,73,75,24,1.64,NR,NR,47.5,696,29,1.3,NR,NR,26,240,20,NR,NR,NR,NR,24,Enrolment,During,12,11.18,12.82,NR,0.88,NR,NR,25.6,696,29,1.6,NR,NR,32,480,20,NR,NR,NR,NR,,Felon,No,No,Yes,Yes,Yes,33,10,43,13,NR,NR,NR,NR,Evaluation,Evaluation,unpublished,None,Quasi-experimental,Post,Yes,Single judge,No,No,No,NR,Yes,Yes,No,Yes,Yes,Yes,Weekly,whole treatment,frequent,frequent,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,NR,NR,5,NR,5,NR,No,No,3,critical,critical,serious,serious,low,low,moderate,moderate
2,Alaska Judicial Council,2005,convictions,Mean convictions,No,DC,standard,None Reported,Graduates,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,24,1,NR,NR,10,240,10,NR,NR,NR,26,NR,NR,NR,NR,NR,NR,24,Enrolment,During,12,14.63,9.37,NR,0.5,NR,NR,5,240,10,NR,NR,NR,32,NR,NR,NR,NR,NR,NR,,Felon,No,No,Yes,Yes,Yes,100,10,0,0,NR,NR,NR,NR,Evaluation,Evaluation,unpublished,None,Quasi-experimental,Post,Yes,Single judge,No,No,No,NR,Yes,Yes,No,Yes,Yes,Yes,fortnightly,whole treatment,frequent,frequent,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,NR,NR,5,NR,5,NR,No,No,3,unrated,unrated,unrated,unrated,unrated,unrated,unrated,unrated
2,Alaska Judicial Council,2005,convictions,Mean convictions,No,DUIC,standard,None Reported,Graduates/Failures,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,37,NR,37,NR,81,76,60,48,24,1.49,NR,NR,106,1704,71,1.4,NR,NR,76.6,1296,54,NR,NR,NR,NR,24,Enrolment,During,12,9.48,14.52,NR,0.39,NR,NR,27.8,1704,71,0.3,NR,NR,16.2,1296,54,NR,NR,NR,NR,,Felon,Yes,Yes,Yes,Yes,No,21,15,33,24,NR,NR,NR,NR,Evaluation,Evaluation,unpublished,None,Quasi-experimental,Post,Yes,Single judge,No,No,No,NR,Yes,Yes,No,Yes,Yes,Yes,Weekly,whole treatment,frequent,frequent,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,probation,NR,6,NR,6,NR,No,No,3,critical,critical,serious,serious,NI,low,moderate,moderate
2,Alaska Judicial Council,2005,convictions,Mean convictions,No,DUIC,standard,None Reported,Graduates,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,24,0.7,NR,NR,10.5,360,15,NR,NR,NR,76.6,NR,NR,NR,NR,NR,NR,24,Enrolment,During,12,14.6,9.4,NR,0.1,NR,NR,1.5,360,15,NR,NR,NR,16.2,NR,NR,NR,NR,NR,NR,,Felon,Yes,Yes,Yes,Yes,No,100,15,0,0,NR,NR,NR,NR,Evaluation,Evaluation,unpublished,None,Quasi-experimental,Post,Yes,Single judge,No,No,No,NR,Yes,Yes,No,Yes,Yes,Yes,Weekly,whole treatment,frequent,frequent,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,probation,NR,6,NR,6,NR,No,No,3,unrated,unrated,unrated,unrated,unrated,unrated,unrated,unrated
2,Alaska Judicial Council,2005,convictions,Mean convictions,No,DC,standard,None Reported,Graduates/Failures,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,32,NR,32,NR,88,97,10,3,24,2.25,NR,NR,112.6,1200,50,1.3,NR,NR,39,720,30,NR,NR,NR,NR,24,Enrolment,During,12,9.25,14.75,NR,0.42,NR,NR,21,1200,50,0.6,NR,NR,18,720,30,NR,NR,NR,NR,,Felony/Misdemeanor,Yes,Yes,Yes,Yes,Yes,14,7,43,22,NR,NR,NR,NR,Evaluation,Evaluation,unpublished,None,Quasi-experimental,Post,Yes,Single judge,No,No,No,NR,Yes,Yes,No,Yes,Yes,Yes,Weekly,whole treatment,frequent,frequent,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,NR,NR,6,NR,6,NR,No,No,3,critical,critical,serious,serious,low,low,moderate,moderate
2,Alaska Judicial Council,2005,convictions,Mean convictions,No,DC,standard,None Reported,Graduates,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,24,0.7,NR,NR,4.9,168,7,NR,NR,NR,39,NR,NR,NR,NR,NR,NR,24,Enrolment,During,12,15.32,8.68,NR,0.2,NR,NR,1.4,168,7,NR,NR,NR,18,NR,NR,NR,NR,NR,NR,,Felony/Misdemeanor,Yes,Yes,Yes,Yes,Yes,100,7,0,0,NR,NR,NR,NR,Evaluation,Evaluation,unpublished,None,Quasi-experimental,Post,Yes,Single judge,No,No,No,NR,Yes,Yes,No,Yes,Yes,Yes,fortnightly,whole treatment,frequent,frequent,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,NR,NR,6,NR,6,NR,No,No,3,unrated,unrated,unrated,unrated,unrated,unrated,unrated,unrated
3,Crumpton et al.,2004,arrests,mean arrests,No,DC,misdemeanant vs comps,None Reported,Not Reported,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,39.9,NR,37.2,NR,56,67.9,14.3,14.3,36,3.92,NR,NR,98,900,25,3,NR,NR,84,1008,28,NR,NR,NR,NR,36,Qualifying arrest,During,NR,18.9,17.1,NR,1.68,NR,NR,42,900,25,2,NR,NR,56,1008,28,NR,NR,NR,NR,,Misdemeanant,No,No,No,No,No,NR,NR,NR,NR,NR,NR,NR,NR,Evaluation,Evaluation,unpublished,NPC research,Quasi-experimental,Pre,No,Not Reported,No,No,No,NR,No,Yes,Yes,Graduated,No,No,Monthly,whole treatment,monthly,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,NR,probation,4,1,4,1,Yes,Yes,3,unrated,unrated,unrated,unrated,unrated,unrated,unrated,unrated
3,Crumpton et al.,2004,arrests,mean arrests,No,DC,felons vs comps,None Reported,Not Reported,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,40.7,NR,38,NR,71.4,82.9,6.3,0,36,3.83,NR,NR,134.05,1260,35,3.46,NR,NR,121.1,1260,35,NR,NR,NR,NR,36,Qualifying arrest,During,NR,18.9,17.1,NR,0.86,NR,NR,30.1,1260,35,1.54,NR,NR,53.9,1260,35,NR,NR,NR,NR,,Felon,No,No,Yes,Yes,No,NR,NR,NR,NR,NR,NR,NR,NR,Evaluation,Evaluation,unpublished,NPC research,Quasi-experimental,Pre,No,Not Reported,No,No,No,NR,No,Yes,Yes,Graduated,No,No,Monthly,whole treatment,monthly,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,NR,probation,4,1,4,1,Yes,Yes,3,unrated,unrated,unrated,unrated,unrated,unrated,unrated,unrated
3,Crumpton et al.,2004,arrests,mean arrests,No,DC,standard,None Reported,Not Reported,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,40.3,NR,37.6,NR,65,76.2,9.4,6.3,36,3.87,NR,NR,232.2,2160,60,3.25,NR,NR,204.75,2268,63,NR,NR,NR,NR,36,Qualifying arrest,During,NR,18.9,17.1,NR,1.2,NR,NR,72,2160,60,1.75,NR,NR,110.25,2268,63,NR,NR,NR,NR,,Felony/Misdemeanor,No,No,Yes,Yes,No,NR,NR,NR,NR,NR,NR,NR,NR,Evaluation,Evaluation,unpublished,NPC research,Quasi-experimental,Pre,No,Not Reported,No,No,No,NR,No,Yes,Yes,Graduated,No,No,Monthly,whole treatment,monthly,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,NR,probation,4,1,4,1,Yes,Yes,3,critical,critical,serious,low,NI,serious,low,low
4,Eckberg et al. ,2006,charges,% charged,Yes,MHC,participants vs referrees,None Reported,Not Reported,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,36.8,NR,32.1,NR,59.2,65.4,54.9,67.9,4,NR,NR,NR,NR,NR,191,NR,NR,NR,NR,NR,81,37,191,50,81,4,Enrolment,During,NR,NR,NA,NR,NR,NR,NR,NR,NR,191,NR,NR,81,NR,NR,NR,23,191,32,81,,Felony/Misdemeanor,No,No,Yes,Yes,Yes,NR,NR,NR,NR,NR,NR,NR,NR,Evaluation,Evaluation,unpublished,None,Quasi-experimental,Pre & Post,Yes,Single judge,No,No,No,NR,No,Yes,No,Yes,Yes,Yes,NR,NR,NR,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,NR,NR,1,NR,10,NR,No,No,3,unrated,unrated,unrated,unrated,unrated,unrated,unrated,unrated
4,Eckberg et al. ,2006,convictions,% convicted,Yes,MHC,participants vs referrees,None Reported,Not Reported,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,36.8,NR,32.1,NR,59.2,65.4,54.9,67.9,4,NR,NR,NR,NR,NR,191,NR,NR,NR,NR,NR,81,18,191,27,81,4,Enrolment,During,NR,NR,NA,NR,NR,NR,NR,NR,NR,191,NR,NR,81,NR,NR,NR,8,191,11,81,,Felony/Misdemeanor,No,No,Yes,Yes,Yes,NR,NR,NR,NR,NR,NR,NR,NR,Evaluation,Evaluation,unpublished,None,Quasi-experimental,Pre & Post,Yes,Single judge,No,No,No,NR,No,Yes,No,Yes,Yes,Yes,NR,NR,NR,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,NR,NR,1,NR,10,NR,No,No,3,critical,critical,serious,moderate,NI,low,moderate,moderate
5,Evans et al.,2014,arrests,mean arrests,Yes,DC,standard,None Reported,Not Reported,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,36.1,10.4,36.3,10.2,67.4,67.8,38.9,38,12,1.75,1.68,NR,1858.5,12744,1062,1.75,1.72,NR,1858.5,12744,1062,75.2,1062,75.5,1062,12,Enrolment,During,NR,NR,NR,NR,0.74,1.12,NR,785.88,12744,1062,0.89,1.19,NR,945.18,12744,1062,43.1,1062,49.7,1062,,Not reported,Yes,Yes,NR,No,No,NR,NR,NR,NR,33.5,355.77,33,350.46,Journal Article,Journal Article,published,None,Quasi-experimental,Not Reported,No,Not Reported,No,No,No,NR,No,Yes,Yes,Graduated,Yes,Yes,NR,NR,NR,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,NR,NR,2,2,2,4,Yes,Yes,4,serious,serious,serious,low,NI,moderate,low,moderate
